indice_tiempo,region_de_destino,categoria_del_hotel,tarifa_media_diaria_en_usd,observaciones
2012-03-01,Cuyo,1 y 2 estrellas,36.47,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Cuyo,3 estrellas/boutiques/aparts,61.44,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Cuyo,4 y 5 estrellas,112.61,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Cuyo,Para Hoteles,28.94,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Cuyo,Total,61.96,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Córdoba,1 y 2 estrellas,52.9,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Córdoba,3 estrellas/boutiques/aparts,76.28,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Córdoba,4 y 5 estrellas,82.13,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Córdoba,Para Hoteles,69.2,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Córdoba,Total,66.45,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Litoral,1 y 2 estrellas,47.97,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Litoral,3 estrellas/boutiques/aparts,59,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Litoral,4 y 5 estrellas,101.43,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Litoral,Para Hoteles,75.44,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Litoral,Total,74.23,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Norte,1 y 2 estrellas,48.43,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Norte,3 estrellas/boutiques/aparts,65.84,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Norte,4 y 5 estrellas,85.27,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Norte,Para Hoteles,33.49,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Norte,Total,56.67,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Patagonia,1 y 2 estrellas,47.95,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Patagonia,3 estrellas/boutiques/aparts,95.59,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Patagonia,4 y 5 estrellas,119.2,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Patagonia,Para Hoteles,43.02,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Patagonia,Total,75.63,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Buenos Aires,1 y 2 estrellas,35.49,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Buenos Aires,3 estrellas/boutiques/aparts,74.21,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Buenos Aires,4 y 5 estrellas,103.54,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Buenos Aires,Para Hoteles,48.17,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Buenos Aires,Total,59.63,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,CABA,1 y 2 estrellas,48.81,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,CABA,3 estrellas/boutiques/aparts,81.14,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,CABA,4 y 5 estrellas,126.21,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,CABA,Para Hoteles,24.02,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,CABA,Total,87.66,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Cuyo,1 y 2 estrellas,36.83,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Cuyo,3 estrellas/boutiques/aparts,59.61,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Cuyo,4 y 5 estrellas,102.77,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Cuyo,Para Hoteles,28,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Cuyo,Total,61.26,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Córdoba,1 y 2 estrellas,50.51,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Córdoba,3 estrellas/boutiques/aparts,71.06,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Córdoba,4 y 5 estrellas,87.66,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Córdoba,Para Hoteles,77.52,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Córdoba,Total,66.89,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Litoral,1 y 2 estrellas,45.47,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Litoral,3 estrellas/boutiques/aparts,57.91,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Litoral,4 y 5 estrellas,101.51,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Litoral,Para Hoteles,46.77,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Litoral,Total,66.9,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
