indice_tiempo,region_de_destino,categoria_del_hotel,puestos_de_trabajo,observaciones
2013-02-01,Litoral,3 estrellas/boutiques/aparts,1898,""
2013-02-01,Litoral,4 y 5 estrellas,3506,""
2013-02-01,Litoral,Para Hoteles,2076,""
2013-02-01,Norte,1 y 2 estrellas,833,""
2013-02-01,Norte,3 estrellas/boutiques/aparts,2154,""
2013-02-01,Norte,4 y 5 estrellas,1767,""
2013-02-01,Norte,Para Hoteles,1667,""
2013-02-01,Patagonia,1 y 2 estrellas,1857,""
2013-02-01,Patagonia,3 estrellas/boutiques/aparts,2834,""
2013-02-01,Patagonia,4 y 5 estrellas,3183,""
2013-02-01,Patagonia,Para Hoteles,3275,""
2013-03-01,Buenos Aires,1 y 2 estrellas,1920,""
2013-03-01,Buenos Aires,3 estrellas/boutiques/aparts,2601,""
2013-03-01,Buenos Aires,4 y 5 estrellas,1945,""
2013-03-01,Buenos Aires,Para Hoteles,3298,""
2013-03-01,CABA,1 y 2 estrellas,972,""
2013-03-01,CABA,3 estrellas/boutiques/aparts,3768,""
2013-03-01,CABA,4 y 5 estrellas,9147,""
2013-03-01,CABA,Para Hoteles,1578,""
2013-03-01,Cuyo,1 y 2 estrellas,1272,""
2013-03-01,Cuyo,3 estrellas/boutiques/aparts,2221,""
2013-03-01,Cuyo,4 y 5 estrellas,2640,""
2013-03-01,Cuyo,Para Hoteles,1151,""
2013-03-01,Córdoba,1 y 2 estrellas,1774,""
2013-03-01,Córdoba,3 estrellas/boutiques/aparts,1580,""
2013-03-01,Córdoba,4 y 5 estrellas,898,""
2013-03-01,Córdoba,Para Hoteles,2607,""
2013-03-01,Litoral,1 y 2 estrellas,1001,""
2013-03-01,Litoral,3 estrellas/boutiques/aparts,1885,""
2013-03-01,Litoral,4 y 5 estrellas,3440,""
2013-03-01,Litoral,Para Hoteles,1658,""
2013-03-01,Norte,1 y 2 estrellas,986,""
2013-03-01,Norte,3 estrellas/boutiques/aparts,2381,""
2013-03-01,Norte,4 y 5 estrellas,1822,""
2013-03-01,Norte,Para Hoteles,1651,""
2013-03-01,Patagonia,1 y 2 estrellas,1859,""
2013-03-01,Patagonia,3 estrellas/boutiques/aparts,2859,""
2013-03-01,Patagonia,4 y 5 estrellas,3016,""
2013-03-01,Patagonia,Para Hoteles,3103,""
2013-04-01,Buenos Aires,1 y 2 estrellas,1317,""
2013-04-01,Buenos Aires,3 estrellas/boutiques/aparts,2177,""
