indice_tiempo,region_de_destino,categoria_del_hotel,ingresos_por_habitacion_disponible_en_usd,observaciones
2012-04-01,Buenos Aires,Para Hoteles,14.29,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Buenos Aires,Total,17.11,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,CABA,1 y 2 estrellas,23.58,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,CABA,3 estrellas/boutiques/aparts,49.11,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,CABA,4 y 5 estrellas,82.36,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,CABA,Para Hoteles,9.96,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,CABA,Total,49.34,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Cuyo,1 y 2 estrellas,11.51,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Cuyo,3 estrellas/boutiques/aparts,23.28,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Cuyo,4 y 5 estrellas,46.39,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Cuyo,Para Hoteles,6.2,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Cuyo,Total,20.82,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Córdoba,1 y 2 estrellas,21.71,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Córdoba,3 estrellas/boutiques/aparts,31.16,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Córdoba,4 y 5 estrellas,39.06,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Córdoba,Para Hoteles,19.18,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Córdoba,Total,24.89,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Litoral,1 y 2 estrellas,15.86,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Litoral,3 estrellas/boutiques/aparts,26.27,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Litoral,4 y 5 estrellas,49.79,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Litoral,Para Hoteles,16.71,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Litoral,Total,28.07,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Norte,1 y 2 estrellas,12.65,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Norte,3 estrellas/boutiques/aparts,25.02,Calculado a valores de la cotización oficial de venta de la divisa.
