indice_tiempo,region_de_destino,categoria_del_hotel,ingresos_por_habitacion_disponible,observaciones
2012-09-01,Litoral,3 estrellas/boutiques/aparts,139.2,""
2012-09-01,Litoral,4 y 5 estrellas,240,""
2012-09-01,Litoral,Para Hoteles,53.3,""
2012-09-01,Litoral,Total,133.2,""
2012-09-01,Norte,1 y 2 estrellas,64.3,""
2012-09-01,Norte,3 estrellas/boutiques/aparts,124.5,""
2012-09-01,Norte,4 y 5 estrellas,231.6,""
2012-09-01,Norte,Para Hoteles,44.1,""
2012-09-01,Norte,Total,100,""
2012-09-01,Patagonia,1 y 2 estrellas,112.5,""
2012-09-01,Patagonia,3 estrellas/boutiques/aparts,229.2,""
2012-09-01,Patagonia,4 y 5 estrellas,287.2,""
2012-09-01,Patagonia,Para Hoteles,57.3,""
2012-09-01,Patagonia,Total,152.5,""
2012-10-01,Buenos Aires,1 y 2 estrellas,32.6,""
2012-10-01,Buenos Aires,3 estrellas/boutiques/aparts,77.4,""
2012-10-01,Buenos Aires,4 y 5 estrellas,142.1,""
2012-10-01,Buenos Aires,Para Hoteles,51.5,""
2012-10-01,Buenos Aires,Total,65.5,""
2012-10-01,CABA,1 y 2 estrellas,112.1,""
2012-10-01,CABA,3 estrellas/boutiques/aparts,220.4,""
2012-10-01,CABA,4 y 5 estrellas,384,""
2012-10-01,CABA,Para Hoteles,43.1,""
2012-10-01,CABA,Total,228.9,""
2012-10-01,Cuyo,1 y 2 estrellas,61.3,""
2012-10-01,Cuyo,3 estrellas/boutiques/aparts,118.5,""
2012-10-01,Cuyo,4 y 5 estrellas,236.5,""
2012-10-01,Cuyo,Para Hoteles,34,""
2012-10-01,Cuyo,Total,107.1,""
2012-10-01,Córdoba,1 y 2 estrellas,60.2,""
2012-10-01,Córdoba,3 estrellas/boutiques/aparts,112.3,""
2012-10-01,Córdoba,4 y 5 estrellas,186.3,""
2012-10-01,Córdoba,Para Hoteles,66.4,""
2012-10-01,Córdoba,Total,89,""
2012-10-01,Litoral,1 y 2 estrellas,73.2,""
2012-10-01,Litoral,3 estrellas/boutiques/aparts,139.8,""
2012-10-01,Litoral,4 y 5 estrellas,258.6,""
2012-10-01,Litoral,Para Hoteles,58.6,""
2012-10-01,Litoral,Total,139.2,""
2012-10-01,Norte,1 y 2 estrellas,72.4,""
2012-10-01,Norte,3 estrellas/boutiques/aparts,123.3,""
2012-10-01,Norte,4 y 5 estrellas,230.4,""
2012-10-01,Norte,Para Hoteles,39.6,""
2012-10-01,Norte,Total,104.5,""
2012-10-01,Patagonia,1 y 2 estrellas,100.2,""
2012-10-01,Patagonia,3 estrellas/boutiques/aparts,207.5,""
2012-10-01,Patagonia,4 y 5 estrellas,248.9,""
2012-10-01,Patagonia,Para Hoteles,49.6,""
2012-10-01,Patagonia,Total,133.2,""
2012-11-01,Buenos Aires,1 y 2 estrellas,41.6,""
