indice_tiempo,region_de_destino,categoria_del_hotel,puestos_de_trabajo_equivalentes,observaciones
2012-08-01,CABA,4 y 5 estrellas,8422,""
2012-08-01,CABA,Para Hoteles,1551,""
2012-08-01,Cuyo,1 y 2 estrellas,958,""
2012-08-01,Cuyo,3 estrellas/boutiques/aparts,1860,""
2012-08-01,Cuyo,4 y 5 estrellas,2810,""
2012-08-01,Cuyo,Para Hoteles,845,""
2012-08-01,Córdoba,1 y 2 estrellas,1062,""
2012-08-01,Córdoba,3 estrellas/boutiques/aparts,1335,""
2012-08-01,Córdoba,4 y 5 estrellas,855,""
2012-08-01,Córdoba,Para Hoteles,1322,""
2012-08-01,Litoral,1 y 2 estrellas,822,""
2012-08-01,Litoral,3 estrellas/boutiques/aparts,1956,""
2012-08-01,Litoral,4 y 5 estrellas,3342,""
2012-08-01,Litoral,Para Hoteles,1356,""
2012-08-01,Norte,1 y 2 estrellas,1212,""
2012-08-01,Norte,3 estrellas/boutiques/aparts,1985,""
2012-08-01,Norte,4 y 5 estrellas,1575,""
2012-08-01,Norte,Para Hoteles,1395,""
2012-08-01,Patagonia,1 y 2 estrellas,2034,""
2012-08-01,Patagonia,3 estrellas/boutiques/aparts,2617,""
2012-08-01,Patagonia,4 y 5 estrellas,2864,""
2012-08-01,Patagonia,Para Hoteles,2104,""
2012-09-01,Buenos Aires,1 y 2 estrellas,991,""
2012-09-01,Buenos Aires,3 estrellas/boutiques/aparts,1837,""
2012-09-01,Buenos Aires,4 y 5 estrellas,1405,""
2012-09-01,Buenos Aires,Para Hoteles,2492,""
2012-09-01,CABA,1 y 2 estrellas,992,""
2012-09-01,CABA,3 estrellas/boutiques/aparts,3901,""
2012-09-01,CABA,4 y 5 estrellas,8327,""
2012-09-01,CABA,Para Hoteles,1530,""
2012-09-01,Cuyo,1 y 2 estrellas,954,""
2012-09-01,Cuyo,3 estrellas/boutiques/aparts,1892,""
2012-09-01,Cuyo,4 y 5 estrellas,2669,""
2012-09-01,Cuyo,Para Hoteles,874,""
2012-09-01,Córdoba,1 y 2 estrellas,1190,""
